"","outcome","predictor","beta","conf_low....conf_low_predictor","conf_high....conf_high_predictor","p_value....p_value_predictor","p.correct","sig_label"
"62","DTI-RD","Weather: Time-mean surface direct short-wave radiation flux",-0.0457341275173393,-0.0554428240885848,-0.0360254309460938,2.79454156679075e-20,2.61988271886633e-19,"*"
"63","DTI-RD","Weather: Time-mean surface downward UV radiation flux",-0.051765202265783,-0.0614694089988207,-0.0420609955327454,1.52702554586655e-25,3.81795733599672e-24,"*"
"64","DTI-RD","Weather: Time-mean surface net long-wave radiation flux",-0.0293429965829108,-0.0390422425239249,-0.0196437506418968,3.06756920859372e-09,1.35333935673252e-08,"*"
"65","DTI-RD","Weather: Total precipitation",0.0221780942212534,0.0124024984713605,0.0319536899711463,8.74702477287172e-06,2.62410743186151e-05,"*"
"66","DTI-RD","Self-Reports: Recent Depressive Symptoms",0.0145398399019526,0.004317743736147,0.0247619360677581,0.00530764174561431,0.0106152834912286,"*"
"67","DTI-RD","Self-Reports: Neuroticism",0.00238413523807885,-0.00869429764887491,0.0134625681250326,0.673163957736819,0.759207471131751,""
"68","DTI-RD","PGRS: Anxiety Disorder",0.00748365256457994,-0.00223327531803139,0.0172005804471913,0.131166494239414,0.192891903293256,""
"69","DTI-RD","PGRS: Attention-Deficit/Hyperactivity Disorder",0.00211711132509197,-0.00760042403156185,0.0118346466817458,0.669364485846207,0.759207471131751,""
"70","DTI-RD","PGRS: Autism Spectrum Disorder",-0.000236722443654245,-0.00994021217199647,0.00946676728468798,0.961862892639593,0.968318348294892,""
"71","DTI-RD","PGRS: Bipolar Disorder",0.0137311465115025,0.00402219247654066,0.0234401005464644,0.00557396614551861,0.0108583756081531,"*"
"72","DTI-RD","PGRS: Major Depressive Disorder",0.0126372276714053,0.00292839259733432,0.0223460627454762,0.0107390998999172,0.0198872220368837,"*"
"73","DTI-RD","PGRS: Obsessive-Compulsive Disorder",0.00089185491139873,-0.00881545686667157,0.010599166689469,0.857092591725816,0.902674600837037,""
"74","DTI-RD","PGRS: Schizophrenia",0.00963832026976845,-7.01208620089589e-05,0.0193467614015458,0.0516777245564082,0.0842571596028395,""
"75","DTI-RD","PGRS: Alzheimer's Disease",0.00562811523646432,-0.00407535960085118,0.0153315900737798,0.255612337711858,0.336332023305077,""
"76","DTI-AD","Weather: 10 metre wind speed",0.0324636200859003,0.0222439207253998,0.0426833194464009,4.84022758228271e-10,2.20010344649214e-09,"*"
"77","DTI-AD","Weather: Surface net short-wave radiation flux",-0.0187018478060814,-0.0289064741246563,-0.00849722148750648,0.000328492410774484,0.000849549338209872,"*"
